Site,Parameter,Date (LT),Year,Month,Day,Hour,NowCast Conc.,AQI,AQI Category,Raw Conc.,Conc. Unit,Duration,QC Name
Jakarta Central,PM2.5 - Principal,2022-01-01 01:00 AM,2022,01,01,01,45.6,126,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 02:00 AM,2022,01,01,02,45.8,126,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 03:00 AM,2022,01,01,03,28.9,86,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 04:00 AM,2022,01,01,04,21.9,72,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 05:00 AM,2022,01,01,05,14.9,57,Moderate,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 06:00 AM,2022,01,01,06,11.9,50,Good,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 07:00 AM,2022,01,01,07,11.4,48,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 08:00 AM,2022,01,01,08,11.2,47,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 09:00 AM,2022,01,01,09,8.6,36,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 10:00 AM,2022,01,01,10,6.3,26,Good,4.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 11:00 AM,2022,01,01,11,5.6,23,Good,5.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 12:00 PM,2022,01,01,12,6.3,26,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 01:00 PM,2022,01,01,13,6.6,28,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 02:00 PM,2022,01,01,14,6.8,28,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 03:00 PM,2022,01,01,15,5.4,23,Good,4.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 04:00 PM,2022,01,01,16,6.2,26,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 05:00 PM,2022,01,01,17,6.1,25,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 06:00 PM,2022,01,01,18,7.5,31,Good,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 07:00 PM,2022,01,01,19,11.2,47,Good,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 08:00 PM,2022,01,01,20,13.1,53,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 09:00 PM,2022,01,01,21,13.0,53,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 10:00 PM,2022,01,01,22,12.0,50,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-01 11:00 PM,2022,01,01,23,11.5,48,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 12:00 AM,2022,01,02,00,12.7,52,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 01:00 AM,2022,01,02,01,12.3,51,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 02:00 AM,2022,01,02,02,11.6,48,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 03:00 AM,2022,01,02,03,10.8,45,Good,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 04:00 AM,2022,01,02,04,9.4,39,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 05:00 AM,2022,01,02,05,7.2,30,Good,5.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 06:00 AM,2022,01,02,06,5.1,21,Good,3.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 07:00 AM,2022,01,02,07,6.0,25,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 08:00 AM,2022,01,02,08,6.5,27,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 09:00 AM,2022,01,02,09,10.2,43,Good,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 10:00 AM,2022,01,02,10,15.6,58,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 11:00 AM,2022,01,02,11,14.3,56,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 12:00 PM,2022,01,02,12,12.1,51,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 01:00 PM,2022,01,02,13,10.5,44,Good,9.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 02:00 PM,2022,01,02,14,10.7,45,Good,11.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 03:00 PM,2022,01,02,15,11.3,47,Good,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 04:00 PM,2022,01,02,16,14.1,55,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 05:00 PM,2022,01,02,17,15.6,58,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 06:00 PM,2022,01,02,18,14.3,56,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 07:00 PM,2022,01,02,19,15.6,58,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 08:00 PM,2022,01,02,20,15.3,58,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 09:00 PM,2022,01,02,21,19.1,66,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 10:00 PM,2022,01,02,22,18.0,63,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-02 11:00 PM,2022,01,02,23,11.5,48,Good,5.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 12:00 AM,2022,01,03,00,15.2,58,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 01:00 AM,2022,01,03,01,15.1,57,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 02:00 AM,2022,01,03,02,17.0,61,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 03:00 AM,2022,01,03,03,18.0,63,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 04:00 AM,2022,01,03,04,20.0,68,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 05:00 AM,2022,01,03,05,19.0,66,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 06:00 AM,2022,01,03,06,15.5,58,Moderate,12.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 07:00 AM,2022,01,03,07,14.2,55,Moderate,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 08:00 AM,2022,01,03,08,16.6,60,Moderate,19.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 09:00 AM,2022,01,03,09,19.3,66,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 10:00 AM,2022,01,03,10,21.1,70,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 11:00 AM,2022,01,03,11,24.0,76,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 12:00 PM,2022,01,03,12,25.5,79,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 01:00 PM,2022,01,03,13,25.2,79,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 02:00 PM,2022,01,03,14,21.1,70,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 03:00 PM,2022,01,03,15,18.5,64,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 04:00 PM,2022,01,03,16,17.7,63,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 05:00 PM,2022,01,03,17,18.8,65,Moderate,20.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 06:00 PM,2022,01,03,18,20.4,68,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 07:00 PM,2022,01,03,19,18.5,64,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 08:00 PM,2022,01,03,20,29.6,88,Moderate,41.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 09:00 PM,2022,01,03,21,35.3,100,Moderate,41.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 10:00 PM,2022,01,03,22,42.1,117,Unhealthy for Sensitive Groups,49.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-03 11:00 PM,2022,01,03,23,49.0,134,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 12:00 AM,2022,01,04,00,35.5,101,Unhealthy for Sensitive Groups,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 01:00 AM,2022,01,04,01,31.2,91,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 02:00 AM,2022,01,04,02,26.1,80,Moderate,21.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 03:00 AM,2022,01,04,03,26.0,80,Moderate,26.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 04:00 AM,2022,01,04,04,25.5,79,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 05:00 AM,2022,01,04,05,25.2,79,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 06:00 AM,2022,01,04,06,25.1,78,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 07:00 AM,2022,01,04,07,26.5,81,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 08:00 AM,2022,01,04,08,24.7,77,Moderate,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 09:00 AM,2022,01,04,09,28.8,86,Moderate,33.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 10:00 AM,2022,01,04,10,33.9,97,Moderate,39.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 11:00 AM,2022,01,04,11,44.4,123,Unhealthy for Sensitive Groups,55.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 12:00 PM,2022,01,04,12,55.7,151,Unhealthy,67.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 01:00 PM,2022,01,04,13,56.8,152,Unhealthy,58.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 02:00 PM,2022,01,04,14,47.9,132,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 03:00 PM,2022,01,04,15,43.4,120,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 04:00 PM,2022,01,04,16,32.7,94,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 05:00 PM,2022,01,04,17,30.3,89,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 06:00 PM,2022,01,04,18,30.1,89,Moderate,30.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 07:00 PM,2022,01,04,19,29.5,88,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 08:00 PM,2022,01,04,20,34.2,97,Moderate,39.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 09:00 PM,2022,01,04,21,38.1,107,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 10:00 PM,2022,01,04,22,37.0,105,Unhealthy for Sensitive Groups,36.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-04 11:00 PM,2022,01,04,23,37.0,105,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 12:00 AM,2022,01,05,00,37.0,105,Unhealthy for Sensitive Groups,37.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 01:00 AM,2022,01,05,01,73.5,160,Unhealthy,110.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 02:00 AM,2022,01,05,02,109.7,179,Unhealthy,146.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 03:00 AM,2022,01,05,03,114.3,181,Unhealthy,119.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 04:00 AM,2022,01,05,04,100.2,174,Unhealthy,86.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 05:00 AM,2022,01,05,05,85.1,166,Unhealthy,70.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 06:00 AM,2022,01,05,06,77.0,162,Unhealthy,69.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 07:00 AM,2022,01,05,07,81.0,164,Unhealthy,85.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 08:00 AM,2022,01,05,08,87.5,168,Unhealthy,94.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 09:00 AM,2022,01,05,09,90.7,169,Unhealthy,94.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 10:00 AM,2022,01,05,10,75.3,161,Unhealthy,60.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 11:00 AM,2022,01,05,11,76.6,162,Unhealthy,78.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 12:00 PM,2022,01,05,12,61.3,154,Unhealthy,46.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 01:00 PM,2022,01,05,13,57.1,152,Unhealthy,53.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 02:00 PM,2022,01,05,14,58.0,152,Unhealthy,59.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 03:00 PM,2022,01,05,15,54.0,147,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 04:00 PM,2022,01,05,16,50.5,138,Unhealthy for Sensitive Groups,47.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 05:00 PM,2022,01,05,17,45.7,126,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 06:00 PM,2022,01,05,18,41.8,117,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 07:00 PM,2022,01,05,19,34.4,98,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 08:00 PM,2022,01,05,20,36.2,103,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 09:00 PM,2022,01,05,21,30.5,90,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 10:00 PM,2022,01,05,22,29.7,88,Moderate,29.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-05 11:00 PM,2022,01,05,23,32.8,95,Moderate,36.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 12:00 AM,2022,01,06,00,35.9,102,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 01:00 AM,2022,01,06,01,39.9,112,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 02:00 AM,2022,01,06,02,41.9,117,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 03:00 AM,2022,01,06,03,42.7,119,Unhealthy for Sensitive Groups,44.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 04:00 AM,2022,01,06,04,40.5,113,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 05:00 AM,2022,01,06,05,41.1,115,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 06:00 AM,2022,01,06,06,46.6,128,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 07:00 AM,2022,01,06,07,51.8,141,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 08:00 AM,2022,01,06,08,49.9,136,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 09:00 AM,2022,01,06,09,50.9,139,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 10:00 AM,2022,01,06,10,51.2,140,Unhealthy for Sensitive Groups,53.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 11:00 AM,2022,01,06,11,52.9,144,Unhealthy for Sensitive Groups,57.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 12:00 PM,2022,01,06,12,63.2,155,Unhealthy,73.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 01:00 PM,2022,01,06,13,62.6,155,Unhealthy,62.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 02:00 PM,2022,01,06,14,48.9,134,Unhealthy for Sensitive Groups,35.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 03:00 PM,2022,01,06,15,35.9,102,Unhealthy for Sensitive Groups,23.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 04:00 PM,2022,01,06,16,29.9,88,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 05:00 PM,2022,01,06,17,31.4,92,Moderate,33.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 06:00 PM,2022,01,06,18,34.2,97,Moderate,37.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 07:00 PM,2022,01,06,19,34.6,98,Moderate,35.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 08:00 PM,2022,01,06,20,34.3,98,Moderate,34.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 09:00 PM,2022,01,06,21,36.6,104,Unhealthy for Sensitive Groups,39.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 10:00 PM,2022,01,06,22,42.3,118,Unhealthy for Sensitive Groups,48.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-06 11:00 PM,2022,01,06,23,46.1,127,Unhealthy for Sensitive Groups,50.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 12:00 AM,2022,01,07,00,49.0,134,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 01:00 AM,2022,01,07,01,52.5,143,Unhealthy for Sensitive Groups,56.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 02:00 AM,2022,01,07,02,40.7,114,Unhealthy for Sensitive Groups,29.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 03:00 AM,2022,01,07,03,34.3,98,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 04:00 AM,2022,01,07,04,29.1,87,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 05:00 AM,2022,01,07,05,23.5,75,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 06:00 AM,2022,01,07,06,20.2,68,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 07:00 AM,2022,01,07,07,18.6,65,Moderate,17.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 08:00 AM,2022,01,07,08,21.3,70,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 09:00 AM,2022,01,07,09,22.6,73,Moderate,24.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 10:00 AM,2022,01,07,10,20.3,68,Moderate,18.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 11:00 AM,2022,01,07,11,14.1,55,Moderate,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 12:00 PM,2022,01,07,12,10.5,44,Good,7.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 01:00 PM,2022,01,07,13,7.2,30,Good,4.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 02:00 PM,2022,01,07,14,6.1,25,Good,5.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 03:00 PM,2022,01,07,15,7.0,29,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 04:00 PM,2022,01,07,16,7.5,31,Good,8.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 05:00 PM,2022,01,07,17,6.7,28,Good,6.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 06:00 PM,2022,01,07,18,9.8,41,Good,13.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 07:00 PM,2022,01,07,19,17.4,62,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 08:00 PM,2022,01,07,20,19.7,67,Moderate,22.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 09:00 PM,2022,01,07,21,22.3,72,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 10:00 PM,2022,01,07,22,24.6,77,Moderate,27.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-07 11:00 PM,2022,01,07,23,30.3,89,Moderate,36.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 12:00 AM,2022,01,08,00,30.6,90,Moderate,31.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 01:00 AM,2022,01,08,01,30.8,90,Moderate,31.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 02:00 AM,2022,01,08,02,29.4,87,Moderate,28.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 03:00 AM,2022,01,08,03,40.7,114,Unhealthy for Sensitive Groups,52.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 04:00 AM,2022,01,08,04,41.3,115,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 05:00 AM,2022,01,08,05,41.6,116,Unhealthy for Sensitive Groups,42.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 06:00 AM,2022,01,08,06,39.8,112,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 07:00 AM,2022,01,08,07,40.4,113,Unhealthy for Sensitive Groups,41.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 08:00 AM,2022,01,08,08,43.2,120,Unhealthy for Sensitive Groups,46.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 09:00 AM,2022,01,08,09,40.6,114,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 10:00 AM,2022,01,08,10,39.4,111,Unhealthy for Sensitive Groups,38.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 11:00 AM,2022,01,08,11,32.1,93,Moderate,25.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 12:00 PM,2022,01,08,12,23.5,75,Moderate,15.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 01:00 PM,2022,01,08,13,18.7,65,Moderate,14.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 02:00 PM,2022,01,08,14,14.3,56,Moderate,10.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 03:00 PM,2022,01,08,15,15.1,57,Moderate,16.0,UG/M3,1 Hr,Valid
Jakarta Central,PM2.5 - Principal,2022-01-08 04:00 PM,2022,01,08,16,14.0,55,Moderate,13.0,UG/M3,1 Hr,Valid
